name,earthone_link,organisation,title,location,website,instagram_link,linkedin_link,nationality,bio,offer,need,action,guild,earthone_role
Monica Dogra,https://earthone.world/alliance/monica-dogra,Nākaloka,NĀKALOKA,India and New York,www.nakaloka.com,https://instagram.com/monicadogra,,,"Monica Dogra is a multi-disciplinary award-winning powerhouse, with 7 EPs and studio albums released, acted in 7+ feature films, won The Cannes Lion Bronze and was nominated for an Emmy Award.
A storyteller at the core, Monica Dogra dons several avatars, connected by the aim of opening hearts and minds to make space for uniquely diverse expressions of the human experience.
The daughter of Kashmiri immigrants, Monica Dogra was raised in Maryland and grew up listening to Hindu devotional songs, ghazals, and Bollywood hits of Lata Mangeshkar. At age 16, she won a competition and debuted at Carnegie Hall, went on to graduate from NYU’s prestigious music performance program, appeared in the New York Theatre Circuit in plays and musicals and eventually found herself in India, while recording a solo-project with Andre Bettes in New York City, the
producer of Madonna’s Immaculate Collection.
As a musician, she has released a total of 6 studio albums, with two of her recent singles charting on Apple Music Top 10 on the Dance Charts in India. She has forayed into the medicine music space, releasing her first medicine song with international
legends Mose and Franko Heke in June 2021.
She now tours with her sacred concert series, Nākaloka, with music partner Victorien Mulliez, in epic venues like The Tibet House (NYC), The College of Extraordinary Experiences (Poland), Esalen (CA). With her first band, Shaa’ir and Func, Monica Dogra toured the world representing India at prestigious global festivals such as
Glastonbury, OYA, and MIDEM.
As an actor, Monica Dogra has acted in critically acclaimed films such as Dhobi Ghat, David, What Are The Odds, and web
series like - The Married Woman and an upcoming show on Disney HotStar - Saas Bahu Aur Flamingo.
Monica Dogra has been labeled “
ambassador of the New India,” “Queen of Indie
” by Republic of Brown and Grazia Magazine
and cited as one of the “50 most Influential women in India” by Elle Magazine.","
I exist at the intersection of many things - pop culture and spiritual expression.  I am the granddaughter of a Sanskrit scholar and a priest who “made it” head banging to rock and roll.  Somewhere I feel like I play a roll in the preservation and authentic evolution of the traditions that vibrate in my country of origin, weaponizex by power hungry governments.  My talents lie in public speaking as well as in serving through both Nākaloka and Authentic Voice method… two of my most treasured creations out of 30 years of self study, and public performance art.","
We are forming a nonprofit to carry Nākaloka forward into the world, as well as I am in the midst of a career pivot away from celebrity entertainment culture - I would like to share my gifts as the focal point of my life.  

I’d say the biggest challenge is staying in integrity with the teachings… ie away from capitalistic models… there is a real invitation to tie back into the lands and traditions of india.  How to create a structure that allows for this in India as well as globally.","
I am coming into Earth One with an open mind… believing in divine timing and the revelations that spontaneously occur therein.  My CTA to this community is to readily bring me into your dream weaving if my talents overlap with yours and accelerate us towards greater good.  I pray to share my work and then find seamless synchronicity and synchro destiny.",,
Moriah Hope Johnson,https://earthone.world/alliance/moriah-hope-johnson,,"DEVOTIONAL ARTIST, FACILITATOR, & TEACHER","USA, Italy, International",,https://www.instagram.com/_nikunja_/profilecard/?igsh=dXFveGlrM2c2b3g=,,USA,"Nikunja first started practicing yoga and meditation at 15 years old and began instructing at 19. The vast system of yogic science revolutionized her life amidst intense life challenges. This gave her the motivation at that young age to devote herself completely to this path. Now, she combines her passion and background in the performing arts, along with 15 dedicated years on the journey of awakening. With this foundation she specializes in silence meditation, teaching core principles of Sanatana Dharma, and devotional artistry emphasizing the simple yet profound power of collective song (kirtan), music, and dance to unite us with the Divine. Currently her offerings are primarily inspired by Bhakti Yoga whilst weaving in her plethora of experience within various traditions. All that she has to offer is thanks to her teachers, to Mother Nature, and the thread that weaves everything together.",,,,,
Nabyl Charania,https://earthone.world/alliance/nabyl-charania,XINVEST.Capital,GP,"Miami, FL USA",www.nabylcharania.com,https://www.instagram.com/nabylcharania,https://www.linkedin.com/in/nabylcharania,Canada,,,,,,
Nancy Fechnay,https://earthone.world/alliance/nancy-fechnay,Manifest Venture Partners,FOUNDER,"The Earth (Austin, Nosara, Naples next 6months)",,handle: NancyFechnayLuv,https://www.linkedin.com/in/nancyfechnay?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app,USA,"Nancy Fechnay is a 5x entrepreneur with a passion for helping build solutions to the world’s biggest problems. Formerly a venture capitalist for investment firms such as Kleiner Perkins and Alumni Ventures, Nancy is now a full time advocate for founders through her advisory business, Manifest Venture Partners (MVP).
Nancy and her team work side-by-side with cofounders of early-stage health, wellness and longevity startups. They provide unparalleled support and guidance (on business development, marketing, branding, financials, GTM, etc.), invaluable network, and hands-on operational expertise to aid the executive team in pivots and scaling. MVP will take your company from 0 to n in record time. Nancy is an avid traveler (54 countries and counting!), loves studying consciousness and self growth, and is obsessed with health and kite surfing.",,,,,
Natalia Müller Peña,https://earthone.world/alliance/natalia-mller-pea,Intuitively.ai + Cambridge University Frontier Labs Fund + Bitgpt.network,FOUNDER / ADVISOR / RESEARCHER,Mexico City,www.intuitively.ai,,https://www.linkedin.com/in/lia-muller-pena/,German,"Lia is a trained data architect dedicated to researching AI and blockchain infrastructure, with a particular focus on the social impact of these technologies. She explores how the intersection of AI and blockchain offers a pathway to a decentralized AI future—a future that combines programmable, intelligent user interfaces with digital sovereignty, data provenance, and personal AI ownership.
Passionate about promoting sociotechnological safety, Lia specialized in algorithmic bias during her studies at University College London. She advocates for awareness of how software architecture reflects its creators, emphasizing that AI bias often goes unchecked due to a lack of diversity among developers who build and train models.
In blockchain, Lia critically examines the industry's emphasis on immutability, cautioning that inflexibility may hinder rigid networks to adapt to human growth and iterative thinking if they cannot evolve alongside societal needs.
To further her mission of ethical AI adoption, Lia founded AI agency www.intuitively.ai to help companies embrace AI responsibly, applying her expertise to implement innovative solutions that safeguard societal and individual interests.
Lia's research and explorations have led her to collaborate with companies associated with Cambridge University, Ethereum founders, and other industry pioneers. Through these partnerships, she continues to influence the development of technologies that prioritize both innovation and ethical considerations.
German/ Spanish native, raised in Cambridge - UK","
support in building AI MVPs, advisory in blockchain infrastructure and GTM","
more speaking engagements, would like to become a writer in a digital media outlet on the topics of AI and Blockchain e.g. techcrunch/ forbes digital: essentially I want to activate my voice and the need for decentralised AI","
Everyone needs to understand the responsibility we as society bare as the birthparents of human and artificial intelligences. We need to look towards the natural and supernatural world to readapt how we operate and build operating systems that are sustainable and healthy. Everyone, irrespective of technical literacy, in necessary to shaping this diverse discourse.",INTELLIGENCES,STEWARD
Nate Levin,https://earthone.world/alliance/nate-levin,Antares Auto-Tune - nate.levin@antarestech.com,"GROUP PRODUCT MANAGER - CREATOR TOOLS AT ANTARES AUTO-TUNE
MUSIC DIRECTOR - EARTH ONE
MUSICIAN","Sebastopol, CA, USA",,https://www.instagram.com/natelevinmusic/,https://www.linkedin.com/in/nathanlevin1/,,"Nate Levin is a Group Product Manager at Antares Auto-Tune, where he spearheads the development of entry-level music technology products alongside a world-class AI R&D team. Holding a Master's in Entertainment Technology from Carnegie Mellon University, Nate excels in leading software teams that impact millions worldwide. His extensive travels to over 100 countries and performances as an Oberlin-trained bassist and multi-instrumentalist infuse his work with a unique blend of accessibility, empowerment, and innovation. Nate’s profound understanding of diverse cultural environments enriches his product development, event production, and music direction. He has notably served as a Music Director for Holland America Line and produced events at major venues, adeptly orchestrating large-scale musical engagements. Nate’s career is distinguished by his ability to bridge the gap between technology and the creative arts, enhancing community connections through innovative technology and music.","
Theory of Change: Leveraging music technology and innovative product design to enhance artistic expression and connection globally.
Unique Skills and Experiences:
- Leading the development of user-friendly, entry-level music technology products at Antares Auto-Tune.
- Extensive background as a multi-instrumentalist with performances in over 100 countries.
- Expertise in merging AI with creative tools to make music creation accessible to artists at all levels.
Community Learning Opportunities:
- Insights into integrating complex technologies in simple, impactful ways.
- Bridging cultural insights into product development for global reach.
- Practical approaches to fostering creativity and innovation in music tech.","
- Empowering younger female mobile first demographics to share their voice 
- Using AI to bring more people into the creative process vs. technical knowledge required without replacing creatives
- Scaling product impact without compromising user ease-of-use and accessibility.
- Maintaining cutting-edge innovation in a rapidly evolving music technology landscape.
- Building and managing cross-functional teams to meet global market demands.","
- Seeking collaboration on diverse testing and feedback for new music tech products to ensure they meet various artistic and cultural needs.
- Inviting community members with expertise in AI, product design, or music to join advisory groups.
- Looking for partners to pilot music technology in educational and underserved communities to enhance musical education and accessibility.",,
Newton Howard,https://earthone.world/alliance/newton--howard-,Retired University of Oxford,PROFESSOR HOWARD,Washington DC,www.newtonhoward.com,,https://www.linkedin.com/in/newtonhoward?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app,,"Professor Newton Howard
Oxford University
2019 Bio
Dr. Newton Howard is the founder of ni2o, Inc.--a start-up developing novel, AI-driven, brain-computer interfaces to treat a wide range of debilitating neurological disorders. ni2o’s eventual aim is to improve cognitive and athletic performance for all people affected by neurological diseases. Newton’s career spans academia, the U.S. military, and the private sector. As a prolific scientific author and inventor, he is highly skilled in moving research out of the lab and in u to military and commercial applications, including technology you use every day like wireless hotspots, Google Earth, and Google Translate.
Dr. Howard holds advanced degrees in Mathematics (Oxford), Cognitive Informatics (Sorbonne), Neurosurgery (Oxford), and a Doctorate of Medical Sciences (Sorbonne). He makes significant contributions to the fields of neuroscience, linguistics and national defense, including the Physics of Cognition (a mathematical framework for modeling complex medical, economic and security equilibriums), Intention Awareness (a theory for predictive modeling of naturalistic systems), Mood State Indicators (an algorithm to model mental processes involved in human speech to predict emotional states), ADAMA (a method of autonomously identifying and contextually understanding metaphors in language), the Functional Code Unit (a method for translating neurological signaling to logical data structures) and most recently, the Brain Code (a multivariate analytical model designed to extract emergent properties of the brain’s neuronal system).
Dr. Howard currently works as a professor at Oxford and Georgetown while also directing the Computational Neurosciences Lab at Oxford and the Synthetic Intelligence Lab at MIT. He founded and sits on the Board of two nonprofits: the Howard Brain Sciences Foundation (which funds innovative research initiatives to improve our understanding of the human brain and advance the diagnosis and treatment of neurological conditions); and C4ADS (which is dedicated to providing data-driven analysis and evidence-based reporting on global conflict and transnational security issues).
Professor Howard’s life mission is to investigate and combat brain disorders. Together, we will restore the human dignity lost by diseases and negative evolutionary processes.","
See bio","
See bio","
See bio",INTELLIGENCES,FELLOW
Nicholas Salmons,https://earthone.world/alliance/nicholas-salmons,,,,,,https://www.linkedin.com/in/nicholas-salmons-73119228/,USA,,,,,RESILIENCE,FELLOW
Nicolas Alcala,https://earthone.world/alliance/nicolas-alcala,,ONTOLOGICAL DESIGNER,Mexico City,http://nicolasalcala.com,https://nicoalcala/,https://www.linkedin.com/in/nicolasalcala/,,"I have lived many lives. Instead of finishing my degree, I led a team of 200 people in the making of The Cosmonaut, a transmedia experience where we created a whole story universe about the soviet space race. It was licensed under Creative Commons and crowdfunded by 5000 people, raising more than half a million dollars.
After directing a feature film and thirty short films, I became CEO of my second company: Future Lighthouse. During three years, we turned it into one of the world’s leading Virtual Reality studios, winning numerous awards and paving the way for the future of storytelling.
In 2018 I quit everything. It was time for a change. I followed other passions and turned into a food artist and started diving deep into experiencial design. I created Cocina Sagrada to design and create incredible immersive experiences around the world. Food, design, light, sound and story became my tools to create wonder and awe. To change how people felt.
That’s when I discovered that all the things I did had a name… Ontological Design.","
My commitment is to use Space and Experience to design a better world. A world where we can redefine our connection with other, self and nature. A regenerative world where we give more than we take.

In recent years I’ve shifted my work towards this through the design and development of Metamodern Villages, intentional spaces and immersive narrative experiences to foster Ektasis, Catharsis and Communitas. I believe behavior is a function of culture. If we change culture, everything changes.

I have led the design of 3 village masterplans and I’ve worked with construction companies and architects to design its spaces. I'm currently working on my fourth project in this world, an advanced Climate Center and Bioregional Hub + Village in Costa Rica. I'm also the CEO of Sacred Ohms, a company that aims at supporting retreat organizers do more of their magic, as I believe that conscious retreats are one of the keys to changing things.","
Funding comes top of mind. Wealth and Saving our Planet are not yet incentive-aligned. Regulations are another that comes to mind (from building regulations to other system imbalances that trump progress).","
We will only start changing things at a foundational level once we understand we live in a living system. Everything is connected and alive. It's our duty to protect all life.",,
Nkosenathi Ernie Koela,https://earthone.world/alliance/nkosenathi-ernie-koela,"Indigenous Frequency Cast 

UMNOMBO","SOUND ARTIST, SOUND HEALER, SCHOLAR & INITIATED HEALER","Cape Town, South Africa",www.umnombo-institute.com,https://www.instagram.com/mntana_wexhwele/,https://www.linkedin.com/in/nkosenathi-ernie-koela-2a1813215/,South Africa,"Nkosenathi Ernie Koela (@Mntana_WeXhwele) is an Initiated Healer and Ph.D candidate specialising in indigenous music therapies at the University of Cape Town. Koela’s Trans-disciplinary practice encompasses being an Afrikan indigenous Sound medium, Artist, Specialist and Teacher. Koela as an Instrument maker and multi-instrumentalist, explores how healing practices through sound, creates space that manifests spiritually and materially.","
rare skills and knowledge on indigenous knowledge systems specifically healing, culture and music ecologies from South Africa","
the need for adequate space, to use as a hub for sound therapy and indigenous knowledge ecologies based in south africa. finding avenues for funding, support and partnerships that seek to enrich the lives of people.","
with the time spent in my acts of service on earthone perhaps i will be able to unpack this more.",,
Noah Sherwin,https://earthone.world/alliance/noah-sherwin,,MUSICIAN & BREATHWORK FACILITATOR,"Ojai, California, USA",https://www.youtube.com/@BreathWorkDJ,https://www.instagram.com/thenoahrivers/,,USA,,"
I believe true transformation happens when we tap into the power of breath and music to connect with our inner selves. By integrating breathwork with music, I aim to guide people into deeper states of awareness, helping them release stress, overcome personal limitations, and find emotional balance.

Unique Skill/Experience:

- Professional musician with years of experience in both live performance and production 
- Certified breathwork facilitator specializing in men’s wellness, stress management, and emotional healing
- Ability to create immersive experiences through sound and breath, tailored to individual and group needs

Community Contribution:

- Experience with live performance, creating a powerful, shared experience that deepens community connection.
- Techniques to use breath as a tool for grounding and emotional release
- Insights into the connection between music, mindfulness, and healing
- Practical ways to integrate breathwork into daily routines for a balanced and fulfilling life","
Biggest Challenge(s):

- Securing consistent sponsorship to allow me to fully commit to my mission of integrating 
  music, breathwork, and healing without limitations.
- Balancing time and resources between creating impactful experiences for others and sustaining my own 
  livelihood.
- Expanding my reach and impact while maintaining the authenticity and depth of my work.","
I invite the Earth One Community to support the expansion of my work in music, breathwork, and healing. Together, we can create a network of sponsors, collaborators, and advocates who believe in the transformative power of music and breath. By pooling resources, sharing platforms, and amplifying our reach, we can bring deeper healing experiences to communities in need, build more resilient individuals, and foster authentic connections. Let's work hand-in-hand to turn this mission into a sustainable movement for personal and collective wellness.",,
Oliver Zahn,https://earthone.world/alliance/oliver-zahn,"Climax Foods, Google, Harvard University",ASTROPHYSICIST INTERESTED IN MAKING EARTH A BETTER PLACE,"Berkeley, CA",www.climax.bio,,https://www.linkedin.com/in/cosmologist/,,"Scientist, Entrepreneur, Adventurer, my goal is to reduce suffering and increase happiness among falls sentient beings. After directing the center of Cosmological Physics at UC Berkeley, and data science leadership roles at Google and other large tech companies, I currently run a company that I also founded, working on whet i believe to be the most impactful application of AI to planetary and human health, replacing the most outdated technology on earth.
I am looking forward to connecting with you all on this journey ripe with opportunity for meaningful positive impact connection.","
* I will bring our Michelin approved cheeses that usher in a future of food that will be better in every way: healthier, more sustainable, more affordable, and tasty 
* Technology at service to our collective future: All technologies should be built to maximize our alignment (at-one-ness) with the planet and our future.","
There is a $2.4 Trillion industry about to be disrupted, and we need all the help we can get.","
Help apres your excitement about our products after trying them!",,
Olivia Rogers,https://earthone.world/alliance/olivia-rogers,Insider Expeditions,GLOBAL PROGRAM DIRECTOR,Fiji,,https://www.instagram.com/livv._r/?hl=en,https://www.linkedin.com/in/olivia-rogers-ba122847/,NZ,,,,,,
Oren Slozberg,https://earthone.world/alliance/oren-slozberg,Commomweal,EXECUTIVE DIRECTOR,"Bolinas, CA, USA",www.Commonweal.org,https://www.instagram.com/slozbergoren/,https://www.linkedin.com/in/oren-slozberg-649b594,United States,,,,,RESILIENCE,FACILITATOR
Patricia Eastman,https://earthone.world/alliance/patricia-eastman,"Hu Azores
Ancestral Heart","COFOUNDER OF HU AZORES 
FOUNDER OF ANCESTRAL HEART
AUTHOR, SEEDING CONSCIOUSNESS: PLANT MEDICINE, ANCESTRAL WISDOM, AND PSYCHEDELIC INTITIATION","Austin, TX",www.ancestralheart.com,https://www.instagram.com/psychedelicjourneys/,https://www.linkedin.com/in/tricia-eastman-69695410/,,"Tricia Eastman, a lineage-honoring medicine woman and founder of nonprofit Ancestral Heart, bridging worlds rooted in her mestiza ancestry with profound insights from a decade of Bwiti initiations and training. A renowned speaker, artist, and writer, Eastman has been privileged to engage with audiences at Stanford University's d.school, the World Economic Forum, and on GAIA TV's Psychedelica. Eastman has curated transformative retreats worldwide with plant medicines as well as facilitated the psychospiritual program with Ibogaine and 5-MeO-DMT at Crossroads Treatment Center in Mexico. Her wellness retreat center, Hu Azores, is scheduled to open in late 2026.","
Ancestral Heart has established long-standing relationships with indigenous elders across Africa and South America. Our past efforts have led to the preservation and sharing of ancient wisdom through UN policy and profound cross-pollination of ideas between indigenous knowledge and modern science. I am grateful to offer support to anyone: environmental advocates, organizations, corporations, and individuals who want to respectfully engage with and glean wisdom from the indigenous led efforts that we have been able to support.

As an initiate of Bwiti, a tradition from Gabon, for the last 10 years, I'm here to support anyone on their personal journey who is experiencing emotional challenges or needs support. I serve as the Chaplain of the Biocultures guild and look forward to share moments of beautiful presence and compassion together.

Additionally, I've been building a retreat center in the Azores over the past 5 years. It's a very special place. If you're curious to learn more about these mystical islands, which many of you are seeing for the first time, please feel free to ask me.","
Global events like G20 and COP19 are now inviting indigenous wisdom keepers to share their worldviews and apply their wisdom to our current environmental crisis. This aligns deeply with my belief that we must amplify the voices of these wisdom keepers, listen intently, and support indigenous led initiatives.

The eagerness and generosity of support indigenous causes, offers a ray of hope for the crucial work that lies ahead. There are countless indigenous wisdom keepers ready to take on these challenges, and it's vital to bring them face-to-face with those hearing the call to support.

If you are passionate about supporting these elders who are guiding us towards environmental stewardship and healing our planet. Prayers, reciprocity, spreading the word all will help. Let's move forward being proactive instead of reactively to global devastation.","
We're exploring ways to honor indigenous-led conservation and support the stewards of our planet's most precious knowledge. 

We've been working on this concept called Ancestral Stewardship Payments (ASPs) which started at G20 in India last year. Think of ASPs akin to carbon credits, as a mechanism of conservation that can create waves in ensuring the regeneration of our planet. ASPs are inspired by indigenous practices like the Kogi Mamos' ""pagamentos"" - payments to nature. 

We see ASPs as an interstitium to support many organizations that have local boots on the ground and deep relationships with indigenous communities. Support and meet other aligned beings is appreciated.",BIOCULTURES,FACILITATOR
Patricia McCabe,https://earthone.world/alliance/patricia-mccabe-,,DEDICATED LISTENER,"Northern New Mexico, USA - Superimposed Nation State on Indigenous Continent",www.patmccabe.net,,,,"Pat McCabe, Weyakpa Najin Win, Woman Stands Shining, is of the Diné Nation and makes her home in what is now known as New Mexico, in the Southwest United States. A radical bridger, called to propose that paradigm for the way of being human presence in n Mother Earth is a choice, she makes the case for a Thriving Life Paradigm in her work as international speaker, teacher, and ceremonialist. Calling on deep Indigenous Sciences of Sustainability, or ""mad love affair with Earth,"" she is a deep listener of Vision and Instruction from the Larger Community of interrelated Life, Earth, Cosmos and the Spirit Helpers. ""I want to be lead now, I understand that it is not about my proposals, plans, and good ideas. I want to be led by spirit and the intelligence of Mother Earth now.""","
Based on ancestral knowledge and ceremonial insight, I propose from what some may call ""Original Instructions."" The core basis of my culture rests on the idea that I cannot be well if you are not well. This is speaking to the deep interrelated, interdependent, deeply relational nature of Mother Earth construct. Modern world paradigm has developed believing that some can be well, thrive, have and hoard wealth, and still have a life to live and interact with and within. There is a denial, and an ignorance, that has come out of false indoctrination programs about the reality of our situation. I am a voice for the principals and understandings that guided and directed the most successful human sustainability presence on the planet  that we are aware of, to date. This knowledge has been under brutal attack, with attempted genocide, and supremacies of every kind. I would much rather that my grandparents and great grandparents were attending this meeting, with the Thrivng Life Paradigm, the knowledge, the prayer intact, but in their lifetime, their voice could not, would not, be heard. So I'm afraid, all you get is me. But I am willing.","
Anthropocentrism. A large part of my work is re-proposing that we, the five fingered ones, rest within a very large community of life. All of the members of the sacred hoop of life around us have knowledge, wisdom, and intelligence about how to be moving in concert as single organism called earth. Cultures who have had true sustainability, that is, living in place in relative health, harmony and happiness for 1000 years or 5000 years or 10,000 years or 20,000 years, have considered the community of life as teachers and had practices to make inquiry and receive teaching. Most of these successful cultures of sustainability also acknowledged a spiritual realm and received guidance and direction from that community as well. Additionally, the larger community also includes Cosmos and human beings have contributed and participated in this conversation between earth and cosmos, as part of our function, and raison d'être since time  immemorial. Much of this understanding and methodology is forgotten - and not by accident. Much of solution finding does not acknowledge these practices that have given us any previous success we might have had. It is time that they be remembered reproposed and reconsidered.","
My first call to action would be to have whatever endeavor you come out of here with to include how it will preserve or not further decimate and destroy the human library of understanding of how to be a thriving life presence on the planet, which is contained within indigenous, language, culture, and relationship to place.

My second call to action would be to ask how can you/we make space for Earth logic/cause-and-effect, Life logic/cause-and-effect, Spirit logic/cause-and-effect, Cosmos logic/cause and effect into our thoughts, feelings, words, actions, beliefs.",INTELLIGENCES,FELLOW
Patricio Gerardo Jipa Hualinga,https://earthone.world/alliance/patricio-gerardo-jipa-hualinga,,,,,,,British,,,,"
I am in front of platforms to discuss climate change, prophecies, humanity, artificial intelligence, beings from the stars, science, technology, economy, politics, etc.
I also have meetings with elders in remote places in the Amazon to do sacred ceremonies and discuss sacred places, events, intergalactic connection, etc. I am now in Ecuador, I have a center in the Amazon where I do retreats with Western students to go deep into ancestral knowledge.
The most important thing about the center is that they will be taught how to navigate within the shamanic world, how to be a warrior of light and the galactic interconnection.
Through the retreats, I create funds to be able to educate children from the different tribes of the Amazon of Ecuador, 15 to 20 children, in other words, to prepare the new generation so that they can have enough principles, knowledge, technology, etc., to be able to survive in the future since many events are taking place on our planet.",BIOCULTURES,FELLOW
Patrick Hessel,https://earthone.world/alliance/patrick-hessel,Ultimate Technologies Ltd,CEO,"Mallorca, Spain",www.utl.ooo,https://instagram.com/patrickhessel?igshid=MmIzYWVlNDQ5Yg==,https://www.linkedin.com/in/patrick-hessel-008196,german,"Serial Entrepreneur | Investor | EY Entrepreneur of the Year
Patrick is an entrepreneur passionate about innovative and sustainable solutions. He is running his family office, investing with a broad asset class diversification. He has founded and led c2i for over a decade, an automotive and aerospace OEM carbon-fiber components supplier which he sold to LG. He was CEO, chairman and majority shareholder of AeroMobil, who’s mission is to develop the first commercially available flying car that can drive and fly. Patrick is a technology, business and investment advisor, sits on various boards and is working on a development of a regenerative town of the future, marrying technology with nature and community. He is an active YPO member, at the Tate Modern acquisition committee and enjoys piloting, sailing and kite surfing. He is based in Europe.","
My theory of change: people need to undergo a process of personal transformation to move humanity to a next stage. 

My niche / skills: I have experience with personal transformation, from being an entrepreneur, 100% focused on the outcome, to a person who has undergone significant transformation, learning how to develop intrinsic motivation from a place of deep knowing. 

My project: I am passionate about a new way of living where people can transform, become authentic, be immersed in nature, close to cities within a community which inspired each other. 

What can people learn from me? ... that true personal transformation comes from embracing vulnerability, exploring and healing past wounds, and allowing love, authenticity, and self-awareness to guide a life of fulfillment and deep connection","
Conscious real estate development: forming an advisory board of people experienced with conscious real estate development, community building, culture building, intentional community learnings

Building a community of like-minded people helping each other get inspiration and guidance on their path of personal transformation (online / offline).","
To bring together people passionate about developing physical (real estate) communities to share their learnings and experiences, to inspire and help each other to develop further ones, to scale the efforts and to develop a framework for the design of the physical and social aspects",,
"Paul Dallaghan, PhD",https://earthone.world/alliance/paul-dallaghan-phd,,"CEO & FOUNDER OF SAMAHITA INTERNATIONAL
PHD WITH RESEARCH IN HUMAN STRESS AND LONGEVITY BASED ON BEHAVIORAL PRACTICES
MASTER YOGI-PRANACHARYA (BREATH EXPERT) - TITLE HONORED BY THE INDIAN TRADITIONAL SYSTEM","Los Angeles, CA, USA",www.samahitaretreat.com,https://www.instagram.com/pauldallaghan,,USA,"Paul has spent 30 years in the wellbeing arena, from immersion in original breath-body-mind practices to cultural and scientific study. Paul lived in India under direct guidance in yogic meditative practice, honored after 25 years at the Master level as Breath Expert. He established Samahita Retreat in 2003, the first full wellbeing retreat center in Asia, known for breath, yoga, wellness and fitness, thriving today on Ko Samui, Thailand. Paul was aware of the need for robust research and deep study in this field and devoted himself to academic scholarship, earning a Ph.D in Biological Anthropology from Emory University followed by Post-Doctoral work at Colorado University, Anschutz Medical Campus. His area of specialty was the breath and related practices, their history and origins, as well as a scientific analysis where he developed protocols and carried out a clinical trial study assessing psychological and physiological markers on mental health, stress, and longevity outcomes. He has several robust outcomes on longevity and stress under peer review for publication. Paul has taught practical workshops all over the world as well as at the University level while being an invited speaker to events, conferences or by private organizations. The ability to laugh and banter and not take yourself seriously are key to his philosophy of life. All this while being a devoted father to two sons.","
For 30 years I have prioritized and immersed in practices to fine-tune and understand the nature of mind, the power of breath, and the ingenuity of the body. This gives a unique understanding of how to cultivate an inner stability. Built from daily practice, not just talking about it. And in 25 years of business I walk the talk to put in place sustainable approaches to hospitality and wellbeing for humans.","
Creating public awareness and a public platform","
You can only take care of the world that we share if you really take care of your inner world. What do you really do first thing when you wake up?",,
Paul Gladstone Reid,https://earthone.world/alliance/paul-gladstone-reid,,,,,,,UK,,,,,,
Payam Safa,https://earthone.world/alliance/payam-safa,"Light Dao, Possibility School, Obi","FOUNDER, INVESTOR","Los Angeles, CA, USA",http://wearelight.one,https://instagram.com/payam.safa,https://linkedin.com/in/payamsafa,USA,"Payam Safa's journey of enlightenment is encapsulated in his profound paper titled *We Are Light*, marking the beginning of his mission to inspire and connect conscious leaders. As the founder of Light Dao, Payam has built a global community of heart-led investors and entrepreneurs dedicated to fostering a more abundant and sustainable world. His work with Light Dao has been instrumental in creating platforms for impactful collaborations and transformative ideas. In addition to his endeavors with Light Dao, Payam is a passionate educator through his work at Possibility School. Here, he develops innovative curriculums focused on cultivating a growth mindset and enhancing social-emotional intelligence in young children. His dedication to early childhood education underscores his belief in nurturing the potential of the next generation from the very beginning. Payam's entrepreneurial spirit is prominently showcased in his role as the Founder and CEO of Obi, the world's leading ridehail aggregation platform. Under his visionary leadership, Obi is bringing more openness and transparency to an industry traditionally fueled with monopolistic and competitive behavior.","
As an ecosystem leader through Light Dao, we activate events and gatherings globally on a regular basis across 16 cities and 5 continents. Our community consists of conscious changemakers, investors, and entrepreneurs who care about co-creating a positive, abundant, and regenerative future for humanity. I am happy to make meaningful connections and help activate and bring more awareness to your offering/brand wherever Light Dao can support.","
More partners that are aligned with global unity, peace, love, and light for all of humanity.","
Experience the global Light Dao community and the inaugural Light Alliance Summit Feb 20-23, 2025 in the Dominican Republic.",,
Peter Edward Giblin,https://earthone.world/alliance/peter-edward-giblin,,,,,,,USA,,,,,,
Peter Holmes a Court,https://earthone.world/alliance/peter-holmes-a-court,Afrika.House and Latitude Hotels Group,"CHIEF CONVENER, FOUNDER",Narobi,www.Afrika.House,https://www.instagram.com/peterhac/,https://www.linkedin.com/in/peterhac/,,"Founder, CEO, convener, artist, author, speaker, cyclist.","
I am a community builder, in life and in my work. I am good at some things but, wow, a team of people is SO much better. I am a ridiculous generalist, not a world beater at anything, but if I can help, I do.","
When scaling a business in Africa, balancing social good with an ability to continue to employ lots of people.","
To make this the start, the start of something great and long lasting.",,
